epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.17364,0.2949,1,1,0.00232,0.00041675,0.00041675,0.00041675
2,7.88802,0.01681,1,1,0.00011,0.000847765,0.000847765,0.000847765
3,10.3088,0.04086,0.99029,1,0.02339,0.00127633,0.00127633,0.00127633
4,12.7712,0.0493,1,1,3e-05,0.00165285,0.00165285,0.00165285
5,15.2754,0.01757,1,1,0.00085,0.00164814,0.00164814,0.00164814
6,17.8052,0.0367,1,1,0.00384,0.00164342,0.00164342,0.00164342
7,20.4078,0.0439,1,1,0.00018,0.00163871,0.00163871,0.00163871
8,23.0716,0.01603,1,1,0,0.00163399,0.00163399,0.00163399
9,25.6828,0.04114,1,1,0.02565,0.00162928,0.00162928,0.00162928
10,28.3474,0.03204,1,1,0.00129,0.00162456,0.00162456,0.00162456
11,30.9939,0.04521,1,1,0.00013,0.00161985,0.00161985,0.00161985
12,33.6721,0.00574,1,1,2e-05,0.00161513,0.00161513,0.00161513
13,36.3625,0.02359,1,1,0.00177,0.00161042,0.00161042,0.00161042
14,39.0411,0.02372,1,1,0.00175,0.0016057,0.0016057,0.0016057
15,41.5596,0.02061,1,1,1e-05,0.00160099,0.00160099,0.00160099
16,44.1,0.03197,1,1,0.00013,0.00159627,0.00159627,0.00159627
17,46.5895,0.0113,1,1,0.00017,0.00159156,0.00159156,0.00159156
18,49.2225,0.00876,1,1,0.00023,0.00158684,0.00158684,0.00158684
19,51.8367,0.01524,1,1,0.00465,0.00158213,0.00158213,0.00158213
20,54.385,0.022,1,1,2e-05,0.00157741,0.00157741,0.00157741
21,56.9135,0.0118,1,1,4e-05,0.0015727,0.0015727,0.0015727
22,59.5531,0.00401,1,1,1e-05,0.00156798,0.00156798,0.00156798
23,62.103,0.02333,1,1,0.00472,0.00156326,0.00156326,0.00156326
24,64.5883,0.01995,1,1,0.00718,0.00155855,0.00155855,0.00155855
25,67.2211,0.01917,1,1,0.00117,0.00155383,0.00155383,0.00155383
26,69.8359,0.03174,1,1,0.0017,0.00154912,0.00154912,0.00154912
27,72.3892,0.00822,1,1,0,0.0015444,0.0015444,0.0015444
28,74.9586,0.01825,1,1,9e-05,0.00153969,0.00153969,0.00153969
29,77.5128,0.01915,1,1,0.00088,0.00153497,0.00153497,0.00153497
30,80.0726,0.01013,1,1,0.00011,0.00153026,0.00153026,0.00153026
31,82.5919,0.00643,1,1,3e-05,0.00152554,0.00152554,0.00152554
32,85.2494,0.01727,1,1,0.0009,0.00152083,0.00152083,0.00152083
33,87.8343,0.01657,1,1,0.00068,0.00151611,0.00151611,0.00151611
34,90.3617,0.00256,1,1,0.0002,0.0015114,0.0015114,0.0015114
35,92.898,0.01507,1,1,0.00054,0.00150668,0.00150668,0.00150668
36,95.3129,0.00847,1,1,0.00051,0.00150197,0.00150197,0.00150197
37,97.7518,0.00985,1,1,0.00011,0.00149725,0.00149725,0.00149725
38,100.202,0.0072,1,1,0.00017,0.00149254,0.00149254,0.00149254
39,102.739,0.01688,1,1,0.00071,0.00148782,0.00148782,0.00148782
40,105.545,0.00704,1,1,0.0003,0.00148311,0.00148311,0.00148311
41,108.179,0.01198,1,1,0.00172,0.00147839,0.00147839,0.00147839
42,110.918,0.00751,1,1,0.00263,0.00147368,0.00147368,0.00147368
43,113.505,0.00601,1,1,0.00129,0.00146896,0.00146896,0.00146896
44,116.054,0.00222,1,1,0.00072,0.00146425,0.00146425,0.00146425
45,118.729,0.01195,1,1,0.00121,0.00145953,0.00145953,0.00145953
46,121.307,0.00428,1,1,0.00101,0.00145481,0.00145481,0.00145481
47,123.946,0.00412,1,1,0.00048,0.0014501,0.0014501,0.0014501
48,126.63,0.01662,0.99029,1,0.00804,0.00144538,0.00144538,0.00144538
49,129.254,0.00645,1,1,2e-05,0.00144067,0.00144067,0.00144067
50,131.931,0.00473,1,1,3e-05,0.00143595,0.00143595,0.00143595
51,134.613,0.00626,1,1,0.00013,0.00143124,0.00143124,0.00143124
52,137.213,0.00642,1,1,0.00263,0.00142652,0.00142652,0.00142652
53,139.832,0.00578,1,1,0.00344,0.00142181,0.00142181,0.00142181
54,142.446,0.00774,1,1,0.00405,0.00141709,0.00141709,0.00141709
55,145.127,0.01073,0.99029,1,0.00836,0.00141238,0.00141238,0.00141238
56,147.689,0.0033,1,1,0.00209,0.00140766,0.00140766,0.00140766
57,150.474,0.03357,1,1,0.00083,0.00140295,0.00140295,0.00140295
58,152.929,0.00718,1,1,0.00016,0.00139823,0.00139823,0.00139823
59,155.362,0.01489,1,1,0.00011,0.00139352,0.00139352,0.00139352
60,157.617,0.01822,1,1,0.00033,0.0013888,0.0013888,0.0013888
61,159.933,0.01087,1,1,0.00022,0.00138409,0.00138409,0.00138409
62,162.401,0.01627,1,1,0.00058,0.00137937,0.00137937,0.00137937
63,165.068,0.00953,1,1,0.00117,0.00137466,0.00137466,0.00137466
64,167.7,0.01504,1,1,0.00029,0.00136994,0.00136994,0.00136994
65,170.293,0.0142,1,1,0.00435,0.00136523,0.00136523,0.00136523
66,172.885,0.01086,1,1,0.00184,0.00136051,0.00136051,0.00136051
67,175.385,0.0094,1,1,0.00096,0.00135579,0.00135579,0.00135579
68,178.027,0.00361,1,1,0.00023,0.00135108,0.00135108,0.00135108
69,180.545,0.00674,1,1,0.00019,0.00134636,0.00134636,0.00134636
70,183.137,0.00229,1,1,0.00025,0.00134165,0.00134165,0.00134165
71,185.71,0.00149,1,1,0.00036,0.00133693,0.00133693,0.00133693
72,188.321,0.00201,1,1,0.00122,0.00133222,0.00133222,0.00133222
73,190.966,0.00839,1,1,0.00077,0.0013275,0.0013275,0.0013275
74,193.595,0.00647,1,1,0.00066,0.00132279,0.00132279,0.00132279
75,196.24,0.00206,1,1,0.00017,0.00131807,0.00131807,0.00131807
76,198.795,0.00639,1,1,0.00026,0.00131336,0.00131336,0.00131336
77,201.351,0.01288,1,1,0.00248,0.00130864,0.00130864,0.00130864
78,204.03,0.026,1,1,0.00509,0.00130393,0.00130393,0.00130393
79,206.712,0.00215,1,1,0.00102,0.00129921,0.00129921,0.00129921
80,209.364,0.00542,1,1,0.00055,0.0012945,0.0012945,0.0012945
81,212.007,0.00125,1,1,0.00056,0.00128978,0.00128978,0.00128978
82,214.797,0.00681,1,1,0.00212,0.00128507,0.00128507,0.00128507
83,217.49,0.00509,1,1,0.00231,0.00128035,0.00128035,0.00128035
84,220.182,0.00119,1,1,0.00181,0.00127564,0.00127564,0.00127564
85,222.664,0.01244,1,1,0.00083,0.00127092,0.00127092,0.00127092
86,224.959,0.00797,1,1,0.00164,0.00126621,0.00126621,0.00126621
87,227.327,0.00323,1,1,0.00072,0.00126149,0.00126149,0.00126149
88,229.776,0.0095,1,1,0.00088,0.00125678,0.00125678,0.00125678
89,232.155,0.00162,1,1,0.00026,0.00125206,0.00125206,0.00125206
90,234.66,0.00838,1,1,0.0006,0.00124734,0.00124734,0.00124734
91,237.272,0.00344,1,1,0.00106,0.00124263,0.00124263,0.00124263
92,239.802,0.01236,1,1,0.00723,0.00123791,0.00123791,0.00123791
93,242.317,0.00299,1,1,0.00471,0.0012332,0.0012332,0.0012332
94,244.86,0.00155,1,1,0.0019,0.00122848,0.00122848,0.00122848
95,247.332,0.00582,1,1,0.00071,0.00122377,0.00122377,0.00122377
96,249.764,0.00543,1,1,0.0054,0.00121905,0.00121905,0.00121905
97,252.323,0.00212,1,1,0.00228,0.00121434,0.00121434,0.00121434
98,254.998,0.0006,1,1,0.00086,0.00120962,0.00120962,0.00120962
99,257.736,0.00045,1,1,0.00074,0.00120491,0.00120491,0.00120491
100,260.336,0.00365,1,1,0.00081,0.00120019,0.00120019,0.00120019
101,262.923,0.01058,1,1,0.00311,0.00119548,0.00119548,0.00119548
